Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0298,B&A,XM,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:02:53
0298,B&A,XM,Empty,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:02:59
0298,B&A,XM,goods,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:04:46
0298,B&A,XM,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:06:56
0298,B&A,XM,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:13:48
0298,B&A,XM,Empty,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:13:52
