Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0814,LV,XM,lcl,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:02:59
0814,LV,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:31
0814,LV,XM,merchandise,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:35
0814,LV,XM,Empty,North 4th St,Freight Station,,,Float Switch,2,2023/01/04 14:04:40
0814,LV,XM,lcl,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:52
0814,LV,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:53
0814,LV,XM,merchandise,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:13:56
0814,LV,XM,Empty,North 4th St,Freight Station,,,Float Switch,2,2023/01/04 14:14:01
