Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
7785,LV,XM,Empty,North 4th St,Freight Station,,,Float Switch,0,2023/01/04 14:02:59
7785,LV,XM,lcl,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:04:40
7785,LV,XM,E,Pier Float,Float Tracks,,,,2,2023/01/04 14:04:42
7785,LV,XM,Empty,North 4th St,Freight Station,,,Float Switch,2,2023/01/04 14:04:46
7785,LV,XM,Empty,North 4th St,Freight Station,,,Float Switch,0,2023/01/04 14:13:52
7785,LV,XM,lcl,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:14:02
