Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
9316,PGCC,HK,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:04:35
9316,PGCC,HK,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:37
9316,PGCC,HK,coal,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:40
9316,PGCC,HK,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:56
9316,PGCC,HK,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:58
9316,PGCC,HK,coal,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:14:01
