Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
7366,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:02:53
7366,PGCC,HK,coal,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:02:59
7366,PGCC,HK,Empty,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:04:40
7366,PGCC,HK,E,Pier Float,Float Tracks,,,,2,2023/01/04 14:04:42
7366,PGCC,HK,coal,North 4th St,Team Tracks,,,Float Switch,2,2023/01/04 14:04:46
7366,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:06:56
7366,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:13:48
7366,PGCC,HK,coal,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:13:52
7366,PGCC,HK,Empty,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:14:02
