Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
7852,P&R,XM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:04:35
7852,P&R,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:37
7852,P&R,XM,Empty,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:40
7852,P&R,XM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:56
7852,P&R,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:58
7852,P&R,XM,Empty,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:14:01
