Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
7277,M&P,GA,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:02:59
7277,M&P,GA,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:31
7277,M&P,GA,machinery,North 4th St,Crane,,,Float Switch,1,2023/01/04 14:04:35
7277,M&P,GA,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:52
7277,M&P,GA,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:53
7277,M&P,GA,machinery,North 4th St,Crane,,,Float Switch,1,2023/01/04 14:13:56
