Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
5935,ER,XM,Empty,North 4th St,Freight Station,,,Float Switch,0,2023/01/04 14:02:59
5935,ER,XM,lcl,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:04:40
5935,ER,XM,E,Pier Float,Float Tracks,,,,2,2023/01/04 14:04:42
5935,ER,XM,Empty,North 4th St,Team Tracks,,,Float Switch,2,2023/01/04 14:04:46
5935,ER,XM,Empty,North 4th St,Freight Station,,,Float Switch,0,2023/01/04 14:13:52
5935,ER,XM,lcl,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:14:02
