Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0013,FGEX,RS,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:04:35
0013,FGEX,RS,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:37
0013,FGEX,RS,Produce,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:40
0013,FGEX,RS,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:56
0013,FGEX,RS,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:58
0013,FGEX,RS,Produce,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:14:01
