Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0224,DL&W,XM,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:02:53
0224,DL&W,XM,merchandise,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:02:59
0224,DL&W,XM,Empty,North 4th St,Freight Station,,,Float Switch,1,2023/01/04 14:04:40
0224,DL&W,XM,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:06:56
0224,DL&W,XM,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:13:48
0224,DL&W,XM,merchandise,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:13:52
0224,DL&W,XM,Empty,North 4th St,Freight Station,,,Float Switch,1,2023/01/04 14:14:01
