Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
1097,B&A,FM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:02:59
1097,B&A,FM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:31
1097,B&A,FM,Tarp,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:35
1097,B&A,FM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:52
1097,B&A,FM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:53
1097,B&A,FM,Tarp,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:13:56
