Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
6695,AT&SF,GA,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:04:35
6695,AT&SF,GA,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:37
6695,AT&SF,GA,lumber stack,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:40
6695,AT&SF,GA,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:56
6695,AT&SF,GA,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:58
6695,AT&SF,GA,lumber stack,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:14:01
