Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
3512,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:02:53
3512,ER,GA,lumber stack,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:02:59
3512,ER,GA,Empty,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:04:46
3512,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:06:56
3512,ER,GA,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:13:48
3512,ER,GA,lumber stack,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:13:52
