Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
9815,B&A,XM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:02:59
9815,B&A,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:31
9815,B&A,XM,merchandise,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:35
9815,B&A,XM,Empty,North 4th St,Freight Station,,,Float Switch,2,2023/01/04 14:04:40
9815,B&A,XM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:52
9815,B&A,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:53
9815,B&A,XM,merchandise,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:13:56
9815,B&A,XM,Empty,North 4th St,Freight Station,,,Float Switch,2,2023/01/04 14:14:01
