Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:49:25
4987,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:52:01
4987,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:54:04
4987,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 07:59:26
4987,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 08:00:42
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:21
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:36
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
4987,PGCC,HK,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:47
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:47
4987,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/12 10:04:51
