Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
0353,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:02:53
0353,PRR,HK,coal,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:02:59
0353,PRR,HK,Empty,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:04:40
0353,PRR,HK,E,Pier Float,Float Tracks,,,,2,2023/01/04 14:04:42
0353,PRR,HK,coal,North 4th St,Team Tracks,,,Float Switch,2,2023/01/04 14:04:46
0353,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:06:56
0353,PRR,HK,E,Pier Float,Float Tracks,,,,0,2023/01/04 14:13:48
0353,PRR,HK,coal,North 4th St,Team Tracks,,,Float Switch,0,2023/01/04 14:13:52
0353,PRR,HK,Empty,Pier Float,Float Tracks,,,Float Switch,1,2023/01/04 14:14:02
