Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
2138,ER,XM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:04:35
2138,ER,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:04:37
2138,ER,XM,Empty,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:04:40
2138,ER,XM,Empty,Pier Float,Float Tracks,,,Float Switch,0,2023/01/04 14:13:56
2138,ER,XM,E,Pier Float,Float Tracks,,,,1,2023/01/04 14:13:58
2138,ER,XM,Empty,North 4th St,Team Tracks,,,Float Switch,1,2023/01/04 14:14:01
