Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/10 07:49:25
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:21
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:36
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:40
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/12 10:04:47
8767,NYNH&H,,E,North 4th St,Freight Station,,,,0,2023/01/12 10:04:51
