Operator,Description,Parameters
RN,Railroad Name,"JAWS II - PRR BEDS - 1915"
TN,Train Name,"Switcher"
TM,Train Manifest Description,"Switch BEDS"
PRNTR,Printer Name,""
VT,Valid,11/04/2020 22:02
LN,Location Name,Car Float
DT,Departure Time,00:00
PC,Pick up car,NYP&N,047,Boxcar,36,LCL,FCC,Car Float,Float Tracks,PRR - BEDS,4th Street Station,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,25,Long Gondola,40,Crane,FCC,Car Float,Float Tracks,PRR - BEDS,Crane,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,23,Long Gondola,36,Crane,FCC,Car Float,Float Tracks,PRR - BEDS,Crane,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,22,Long Gondola,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,046,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,045,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,044,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,043,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,042,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,041,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,NYP&N,040,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,PRR,9900,Tankcar,34,Heating Oil,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
TD,Train Departs,Car Float,East
TL,Train Length Empties Cars,482,0,12
TW,Train Weight,831
LN,Location Name,PRR - BEDS
AT,Arrival Time,00:04
EDT,Estimated Departure Time,01:28
PC,Pick up car,PRR,037,Boxcar,36,Empty,FCC,PRR - BEDS,Team Tracks,PRR - BEDS,5th Street Pier,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,036,Boxcar,40,Empty,FCC,PRR - BEDS,Team Tracks,PRR - BEDS,5th Street Pier,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,052,Boxcar,36,Empty,FCC,PRR - BEDS,4th Street Station,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,039,Boxcar,36,Break Bulk,FCC,PRR - BEDS,5th Street Pier,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,PRR,038,Boxcar,36,Break Bulk,FCC,PRR - BEDS,5th Street Pier,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,PRR,054,Boxcar,36,Manifest,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,PRR,053,Boxcar,36,Empty,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,051,Boxcar,36,Manifest,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Load
PC,Pick up car,PRR,050,Boxcar,36,Empty,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,931,Hopper Gon,34,Empty,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,35,Hopper Gon,34,Empty,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,34,Hopper Gon,34,Empty,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,33,Hopper Gon,34,Empty,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
PC,Pick up car,PRR,32,Hopper Gon,34,Empty,FCC,PRR - BEDS,Team Tracks,Car Float,Float Tracks,,,"","","",,,,"",,,,0,,,Empty
SC,Set out car,NYP&N,047,Boxcar,36,LCL,FCC,Car Float,Float Tracks,PRR - BEDS,4th Street Station,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,PRR,037,Boxcar,36,Empty,FCC,PRR - BEDS,Team Tracks,PRR - BEDS,5th Street Pier,,,"","","",,,,"",,,,0,,,Empty
SC,Set out car,PRR,036,Boxcar,40,Empty,FCC,PRR - BEDS,Team Tracks,PRR - BEDS,5th Street Pier,,,"","","",,,,"",,,,0,,,Empty
SC,Set out car,NYP&N,25,Long Gondola,40,Crane,FCC,Car Float,Float Tracks,PRR - BEDS,Crane,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,23,Long Gondola,36,Crane,FCC,Car Float,Float Tracks,PRR - BEDS,Crane,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,22,Long Gondola,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,046,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,045,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,044,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,043,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,042,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,041,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,NYP&N,040,Boxcar,36,Manifest,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
SC,Set out car,PRR,9900,Tankcar,34,Heating Oil,FCC,Car Float,Float Tracks,PRR - BEDS,Team Tracks,,,"","","",,,,"",,,,0,,,Load
HOLD,Hold Car,PRR,05,Boxcar,36,Empty,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,06,Boxcar,36,LCL,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Load
HOLD,Hold Car,PRR,07,Boxcar,36,Empty,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,08,Boxcar,36,Empty,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,010,Boxcar,36,LCL,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Load
HOLD,Hold Car,PRR,018,Boxcar,40,Empty,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,032,Boxcar,36,Empty,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,034,Boxcar,40,LCL,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Load
HOLD,Hold Car,PRR,059,Boxcar,36,Empty,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,060,Boxcar,36,LCL,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Load
HOLD,Hold Car,PRR,061,Boxcar,36,LCL,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Load
HOLD,Hold Car,PRR,062,Boxcar,36,Empty,FCC,PRR - BEDS,4th Street Station,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,01,Boxcar,36,Empty,FCC,PRR - BEDS,Team Tracks,,,,,"","","",,,,"",,,,0,,,Empty
HOLD,Hold Car,PRR,02,Boxcar,36,Manifest,FCC,PRR - BEDS,Team Tracks,,,,,"","","",,,,"",,,,0,,,Load
